activity,worldpop_population,alternative_population,geometry
0.00704085489371743,5.534971249541814,2805.6441622116995,"{""type"": ""Polygon"", ""coordinates"": [[[-85.9570312356059, 10.833305969506771], [-85.91308590982504, 10.833305980516151], [-85.91308590982504, 10.876464974540252], [-85.9570312356059, 10.876464994800465], [-85.9570312356059, 10.833305969506771]]]}"
0.00186602674249272,3.237018406931676,13637.355104064949,"{""type"": ""Polygon"", ""coordinates"": [[[-85.91308590982504, 10.31491926369151], [-85.8691406064145, 10.31491930196422], [-85.8691406064145, 10.358151441156538], [-85.91308590982504, 10.358151397224217], [-85.91308590982504, 10.31491926369151]]]}"
0.0589645758150183,0.0,0.0,"{""type"": ""Polygon"", ""coordinates"": [[[-85.91308590982504, 10.271681266017158], [-85.8691406064145, 10.27168121561073], [-85.8691406064145, 10.31491930196422], [-85.91308590982504, 10.31491926369151], [-85.91308590982504, 10.271681266017158]]]}"
0.000174145561590861,42.49103136930396,130051.08244042502,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.487811909132978], [-85.78124999582845, 10.487811872947871], [-85.78124999582845, 10.531020033150895], [-85.82519532737066, 10.53102001070448], [-85.82519532737066, 10.487811909132978]]]}"
0.0181445601398221,1015.7963661082673,87155.43536164533,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.401377520007275], [-85.78124999582845, 10.401377544980543], [-85.78124999582845, 10.444597759379393], [-85.82519532737066, 10.444597680614768], [-85.82519532737066, 10.401377520007275]]]}"
0.335460358903018,2032.4012895224425,154296.39196611356,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.358151365704652], [-85.78124999582845, 10.358151424833425], [-85.78124999582845, 10.401377544980543], [-85.82519532737066, 10.401377520007275], [-85.82519532737066, 10.358151365704652]]]}"
0.334829131711461,1745.8432512764832,174265.58777645326,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.314919327455513], [-85.78124999582845, 10.314919252255164], [-85.78124999582845, 10.358151424833425], [-85.82519532737066, 10.358151365704652], [-85.82519532737066, 10.314919327455513]]]}"
0.340661740409005,2595.9753541833625,193979.8886592496,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.271681258956084], [-85.78124999582845, 10.271681222783918], [-85.78124999582845, 10.314919252255164], [-85.82519532737066, 10.314919327455513], [-85.82519532737066, 10.271681258956084]]]}"
0.286052580725201,707.1704171095694,82774.95052642062,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.185187387682511], [-85.78124999582845, 10.185187436780872], [-85.78124999582845, 10.228437275876871], [-85.82519532737066, 10.228437270617833], [-85.82519532737066, 10.185187387682511]]]}"
0.214541078595923,980.8720047319058,65108.698582346275,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.141931720978636], [-85.78124999582845, 10.141931645785338], [-85.78124999582845, 10.185187436780872], [-85.82519532737066, 10.185187387682511], [-85.82519532737066, 10.141931720978636]]]}"
0.0251763724619592,198.86910251700408,20851.31198561053,"{""type"": ""Polygon"", ""coordinates"": [[[-85.82519532737066, 10.098670125783899], [-85.78124999582845, 10.098670099345497], [-85.78124999582845, 10.141931645785338], [-85.82519532737066, 10.141931720978636], [-85.82519532737066, 10.098670125783899]]]}"
0.000692089959797107,85.49969717239341,25220.789468585775,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 11.005904498253411], [-85.73730469053729, 11.005904456618628], [-85.73730469053729, 11.049038306981142], [-85.78124999582845, 11.049038368316968], [-85.78124999582845, 11.005904498253411]]]}"
0.191716381321829,1098.5356183456872,182658.99440888094,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.487811872947871], [-85.73730469053729, 10.487811907731599], [-85.73730469053729, 10.531020019897577], [-85.78124999582845, 10.531020033150895], [-85.78124999582845, 10.487811872947871]]]}"
0.269742990868129,1506.3347081273066,146700.88660655246,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.444597759379393], [-85.73730469053729, 10.444597759022537], [-85.73730469053729, 10.487811907731599], [-85.78124999582845, 10.487811872947871], [-85.78124999582845, 10.444597759379393]]]}"
0.297327554387754,819.8413965523828,144254.77057444252,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.401377544980543], [-85.73730469053729, 10.401377511955912], [-85.73730469053729, 10.444597759022537], [-85.78124999582845, 10.444597759379393], [-85.78124999582845, 10.401377544980543]]]}"
0.267477296671404,1615.526038743234,144443.66118817765,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.358151424833425], [-85.73730469053729, 10.358151361611437], [-85.73730469053729, 10.401377511955912], [-85.78124999582845, 10.401377544980543], [-85.78124999582845, 10.358151424833425]]]}"
0.371555628247538,979.2832557452366,170681.0065934873,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.314919252255164], [-85.73730469053729, 10.314919246752368], [-85.73730469053729, 10.358151361611437], [-85.78124999582845, 10.358151424833425], [-85.78124999582845, 10.314919252255164]]]}"
0.353113291178532,689.6939739608297,158309.067522116,"{""type"": ""Polygon"", ""coordinates"": [[[-85.78124999582845, 10.271681222783918], [-85.73730469053729, 10.271681192008009], [-85.73730469053729, 10.314919246752368], [-85.78124999582845, 10.314919252255164], [-85.78124999582845, 10.271681222783918]]]}"
