activity,worldpop_population,ghsl_population_2025
0.16183827856148106,51.8227820917964,11.04335181042552
85.11950572603936,4.099833842366934,0.0
8513.971239105878,0.0,0.0
0.5542056813242413,44.28569880872965,3.830823142081499
2344.365415523814,1083.7747386619449,1946.1603218670934
220140.77772343543,4543.203944057226,4928.132135990076
81763.04874379067,6295.961739048362,7357.7905003530905
50730.28792431814,2001.3184867575765,3722.259622549638
80.24456484950257,209.0133473686874,242.73877180926502
52361.400789474654,902.0459295660257,999.8975746873766
5099.346929864127,223.40699004754424,747.0281856451184
5.7101765310632295,10.75699395686388,34.850743643939495
91355.12307029696,4859.358923137188,6716.353216549382
237534.65096546337,3536.5627032518387,4159.604112957139
386626.61396626185,4554.1118900328875,4184.049817326944
90826.07117036145,3898.6778407543898,4535.508305215277
90715.89483850254,1603.7291781269014,1096.9262983128428
71499.1295822532,1097.1771633774042,1333.4694125531241
19388.175775239237,346.4959082826972,1098.2494030771777
82071.5356643419,1184.8642185106874,756.0737131666392
104391.81057816281,5021.678955458105,6957.565219427459
54768.959703571876,1005.6959349159151,1753.2264951216057
1.4321401976929187,291.7194842044264,41.727618470788
51.03179639277178,266.73544464074075,26.879348524846137
23904.11075767798,281.2925319522619,263.59014165680856
141410.21132164937,1999.4186519943178,3182.427827970125
216493.91345522407,9500.113634690642,11561.662446388975
137307.56758427576,2509.212502580136,1508.77449012734
204607.81971031788,5550.636612169445,6652.615166584961
98193.77223175259,3856.7272611036897,3208.154944879003
18403.51003237053,865.2707950435579,187.9793397989124
61.45649956494575,523.3698574900627,126.91132049728185
112183.66081570175,3070.253095768392,2626.014832966961
61735.80739640548,3279.9701378270984,4049.4394540973008
83872.04677735873,824.9575072452426,1008.6861661877483
37513.956086216545,939.257233755663,885.4126668637618
217.34058073818235,326.8951851055026,65.27552500646561
1215.9070438406534,353.70838921517134,92.65717634558678
29860.44324873542,507.6484178137034,433.45451987721026
168775.6521189184,7098.66610186547,3050.2020191326737
125821.51091365289,9493.212281525135,8965.554841152392
414724.525288132,9429.196967028081,15962.269097771496
174432.65174324883,3550.739071048796,2802.221424624324
205294.10121862468,17627.620281547308,26755.289921566844
