tile_id,worldpop_population,ghsl_population_2025
0,1815.565024614334,3427.0037803780288
1,23298.140566259623,20572.60768828215
2,300.04778703674674,236.9005603529513
3,1611.9651648551226,1883.6680289818905
4,1443.2634811103344,1983.930205134675
5,677.8708517849445,913.7641787026078
6,606.6586931347847,745.732728049159
7,2512.735597372055,3821.319795113057
8,3733.030120372772,3982.641189044807
9,354.8875709325075,277.8497037049383
10,962.1113480441272,415.38533356785774
11,675.7142951339483,1057.411721251905
12,862.6409446895123,991.1387863056734
13,13958.590513467789,16400.342154896818
14,1902.912555737421,2905.772277420154
15,349.5346900159493,157.52816876815632
16,25308.72225177288,40837.01428252645
17,13240.377369105816,20415.525540445
18,1540.472986370325,1342.6499505583197
19,375.40233628079295,386.5867112185806
20,866.7096450179815,1114.3530750852078
21,1190.4723974689841,1288.8551355171949
22,454.8885941840708,536.0307192336768
23,531.8534039743245,558.125430027023
24,616.4876760207117,375.4674715101719
25,347.5488816536963,113.50958098471165
26,618.8399302996695,302.51490150764585
27,395.046485228464,1353.1831567138433
28,697.890602402389,440.5028957966715
29,1705.7865939289331,1709.275456275791
30,2380.076276779175,1338.5337616428733
31,912.929427318275,1479.1520686987787
32,421.327147744596,457.7199203670025
33,1226.7922961488366,615.4725144393742
34,1440.4075138866901,1469.7241218397394
35,593.2349389828742,1003.1384994201362
36,3022.2859198749065,4449.353091565892
37,2564.6508428305387,3521.0337467836216
38,1267.0065233632922,1019.9569033253938
39,255.47448462061584,683.8006343878806
40,1994.209236741066,1923.3234357619658
41,1151.487713251263,1510.8249665088952
42,1808.6755594797432,1266.1526020113379
43,542.8073258921504,616.0636535957456
44,1478.7930767685175,1125.6586499027908
45,9750.453832954168,15414.02834908478
46,3412.2062029093504,7150.393150430173
47,1917.4221656918526,1351.1492531280965
48,3893.055802322924,6586.582689486444
49,6352.393694639206,7812.134037062526
50,2031.0697287097573,2682.711686912924
51,171.91271229833364,306.048916278407
52,860.2998058646917,1318.5801253784448
53,433.2665413804352,404.48111927881837
54,477.42275186255574,1203.5586352329701
55,358.00254336744547,762.5391890062019
56,255.68041666969657,321.1821205271408
57,565.3312008716166,576.6401291880757
58,696.6684305928648,873.8345746733248
59,569.0943116694689,291.13376617990434
60,2937.017439458519,2846.96685332153
61,337.85645166039467,508.0293388534337
62,11615.037575513124,19029.70115244249
63,4372.471192177385,3535.5393278733827
64,37666.63587793708,44875.93572545843
65,2914.170839563012,3058.150133719435
66,810.5247104279697,677.6951054884121
67,3511.596015781164,4033.6098858122714
68,14811.564405202866,15020.459459353238
69,5674.265780210495,6496.91570977401
70,12556.91285699606,16771.88412278425
71,1380.8065117299557,1652.3718579020351
72,3128.9225583672523,2726.079613443464
73,1134.5252379626036,1503.9410805739462
74,1065.2603123635054,977.0340403355658
75,493.013591311872,685.2000012230128
76,448.0634049028158,292.60131012275815
77,3534.0919687747955,1393.778700937517
78,1169.0032380521297,2364.6854225955904
79,755.6013353988528,1316.3264280073345
80,22279.643479943275,34704.87365983194
81,891.4485679268837,978.9120908239856
82,1019.5109249912202,1089.3721577115357
83,1691.1646530404687,3324.2694174116477
84,952.4293668493629,1474.9507412631065
85,4965.124279752374,7490.032902493142
86,517.4746373519301,236.7532083299011
87,3377.88908854872,4409.558721146546
88,361.87305778451264,544.8570658219978
89,683.1428532972932,592.9545067511499
90,242.0783401671797,299.20094111934304
91,337.597571272403,102.28720286861062
92,753.9722459241748,649.5378608554602
93,876.5567610040307,1248.1954998709261
94,554.9579938016832,723.6985805751756
95,1813.2719244584441,2518.98710166011
96,2366.9630656838417,2852.900933695957
97,559.7618363499641,945.2085295589641
98,493.0302672125399,708.6224082261324
99,1663.570855151862,2704.6997477877885
100,482.412430241704,316.2437599468976
101,1267.5467742606997,1195.693689899519
102,1729.3543790131807,1666.8200415307656
103,114123.05019140244,143557.3936050171
104,260.4575124755502,199.9117256673053
105,327.2854533549398,614.5009465515614
106,346.5197176784277,304.84919884987175
107,199.62133587151766,55.740221889689565
108,753.5858238488436,741.057081842795
109,876.7736952416599,419.7417886406183
110,4365.990206740797,5335.126867966726
111,3520.5724873393774,5940.412375684828
112,3098.239738482982,4426.63635408273
113,1682.3872380889952,2107.855186091736
114,1013.4745448306203,1597.0474553462118
115,1473.3417812623084,1592.2111802417785
116,682.1651801019907,1962.8388189701363
117,313.90800596028566,630.3521135048941
